	Year	Kilometers_Driven	Mileage	Engine	Power	Seats	Manufacturer_BMW	Manufacturer_Chevrolet	Manufacturer_Datsun	Manufacturer_Fiat	Manufacturer_Force	Manufacturer_Ford	Manufacturer_Honda	Manufacturer_Hyundai	Manufacturer_ISUZU	Manufacturer_Isuzu	Manufacturer_Jaguar	Manufacturer_Jeep	Manufacturer_Lamborghini	Manufacturer_Land	Manufacturer_Mahindra	Manufacturer_Maruti	Manufacturer_Mercedes-Benz	Manufacturer_Mini	Manufacturer_Mitsubishi	Manufacturer_Nissan	Manufacturer_Porsche	Manufacturer_Renault	Manufacturer_Skoda	Manufacturer_Tata	Manufacturer_Toyota	Manufacturer_Volkswagen	Manufacturer_Volvo	Fuel_Type_Diesel	Fuel_Type_Electric	Fuel_Type_LPG	Fuel_Type_Petrol	Transmission_Manual	Owner_Type_Fourth & Above	Owner_Type_Second	Owner_Type_Third	Price
0	9	77000	22.07	1199.0	73.9	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2900
1	4	19947	20.36	1197.0	78.9	5.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4500
2	6	70963	15.1	2179.0	140.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	7830
3	7	115195	25.2	1248.0	74.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3850
4	9	58752	16.47	1198.0	73.9	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3320
5	1	38163	17.11	1968.0	174.33	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	32910
6	7	80000	11.18	2696.0	184.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	9500
7	6	84000	19.3	1968.0	141.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	10750
8	6	57773	17.11	1968.0	174.33	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	20040
9	6	30000	16.8	1497.0	116.3	5.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	6000
10	7	21000	14.4	1598.0	103.6	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	4450
