petal.length	petal.width	variety
5.4	4.7	Setosa
5.6	6.9	Virginica
5.5	3.2	Versicolor
6.6	4.0	Virginica
7.5	6.0	Versicolor
5.0	3.0	Versicolor
9.6	4.3	Virginica
8.1	5.4	Virginica
8.1	4.1	Virginica
5.9	5.7	Versicolor
8.7	3.0	Virginica
1.8	2.7	Setosa
8.1	6.0	Versicolor
7.7	3.0	Virginica
2.4	4.8	Setosa
9.6	2.3	Virginica
5.5	4.2	Versicolor
8.2	1.9	Versicolor
1.3	4.3	Setosa
7.6	6.4	Virginica
8.4	6.5	Virginica
1.3	3.2	Setosa
4.0	3.8	Versicolor
4.8	5.9	Versicolor
7.9	5.4	Versicolor
4.4	2.4	Versicolor
8.5	4.0	Versicolor
4.7	4.7	Versicolor
4.8	2.8	Setosa
8.1	3.5	Versicolor
5.2	3.0	Versicolor
2.6	4.7	Setosa
8.6	5.3	Versicolor
4.6	2.9	Setosa
7.5	3.1	Versicolor
4.4	2.1	Setosa
4.2	1.7	Versicolor
8.5	1.3	Versicolor
6.3	3.4	Virginica
4.6	3.8	Versicolor
3.5	1.4	Setosa
7.2	6.7	Virginica
4.3	5.5	Versicolor
6.1	5.6	Versicolor
6.0	3.9	Setosa
4.4	3.1	Versicolor
1.2	2.7	Setosa
8.8	5.8	Versicolor
5.6	4.2	Setosa
6.8	2.6	Versicolor
1.9	2.8	Setosa
7.6	4.9	Virginica
10.1	1.8	Virginica
5.5	4.3	Versicolor
3.3	1.7	Setosa
4.8	2.9	Setosa
7.1	4.7	Virginica
1.4	4.2	Setosa
8.3	4.8	Virginica
4.5	2.9	Setosa
8.1	4.3	Versicolor
3.2	2.4	Setosa
6.1	4.4	Virginica
6.3	1.5	Versicolor
4.4	1.1	Setosa
1.9	2.2	Setosa
8.9	5.8	Versicolor
4.0	4.7	Setosa
9.2	4.6	Virginica
7.5	5.5	Versicolor
5.9	1.2	Setosa
6.4	5.5	Versicolor
8.5	5.5	Virginica
8.6	7.0	Virginica
7.1	6.9	Virginica
10.1	6.1	Virginica
1.5	3.7	Setosa
9.2	4.3	Virginica
9.0	2.0	Versicolor
9.4	5.0	Versicolor
7.9	2.6	Virginica
8.0	4.5	Virginica
6.2	6.1	Versicolor
4.4	0.7	Setosa
9.5	6.3	Virginica
1.9	2.9	Setosa
10.5	4.8	Virginica
7.6	3.3	Virginica
5.0	3.2	Setosa
8.0	2.8	Versicolor
9.8	3.2	Virginica
5.4	0.7	Setosa
7.5	4.6	Virginica
8.1	1.3	Versicolor
6.2	2.3	Versicolor
3.7	2.2	Setosa
5.1	4.9	Versicolor
6.8	2.3	Versicolor
4.5	2.0	Versicolor
8.4	6.3	Virginica
4.9	0.2	Setosa
8.5	5.4	Virginica
8.8	3.3	Virginica
4.7	3.2	Setosa
5.9	1.7	Setosa
