sepal.width	variety
5.8	Versicolor
3.0	Virginica
6.1	Virginica
4.5	Setosa
8.0	Setosa
6.2	Setosa
6.5	Versicolor
4.9	Virginica
3.5	Virginica
5.5	Virginica
4.7	Virginica
6.1	Setosa
3.0	Virginica
4.0	Versicolor
6.2	Virginica
7.0	Versicolor
5.0	Versicolor
5.8	Virginica
7.8	Setosa
2.9	Virginica
3.8	Virginica
4.3	Versicolor
5.3	Virginica
6.4	Versicolor
7.0	Setosa
3.5	Setosa
7.6	Setosa
3.3	Virginica
4.5	Setosa
7.0	Versicolor
4.7	Versicolor
4.9	Versicolor
4.7	Setosa
5.2	Versicolor
5.5	Setosa
5.3	Setosa
5.9	Setosa
7.6	Virginica
3.5	Versicolor
5.5	Virginica
3.2	Virginica
5.6	Versicolor
2.4	Versicolor
7.3	Versicolor
4.6	Versicolor
4.0	Versicolor
7.6	Versicolor
3.7	Versicolor
6.3	Virginica
5.7	Setosa
6.9	Setosa
5.0	Setosa
6.7	Setosa
6.3	Virginica
7.3	Virginica
3.0	Virginica
7.9	Setosa
5.5	Virginica
4.9	Versicolor
4.5	Versicolor
2.7	Versicolor
5.3	Setosa
2.3	Versicolor
6.4	Setosa
6.9	Virginica
7.8	Virginica
3.6	Virginica
6.8	Versicolor
6.9	Setosa
3.8	Versicolor
4.6	Setosa
6.1	Virginica
5.9	Versicolor
5.4	Setosa
6.5	Versicolor
5.1	Versicolor
3.2	Virginica
4.5	Setosa
4.6	Virginica
5.2	Setosa
5.4	Virginica
3.6	Setosa
6.0	Setosa
4.7	Versicolor
6.9	Setosa
7.9	Setosa
5.3	Setosa
7.0	Virginica
2.3	Setosa
5.5	Virginica
7.4	Versicolor
2.7	Virginica
7.6	Setosa
2.8	Versicolor
3.0	Virginica
6.8	Virginica
5.2	Setosa
3.3	Virginica
6.1	Setosa
6.0	Setosa
6.9	Setosa
5.7	Versicolor
4.0	Versicolor
7.3	Versicolor
7.1	Versicolor
