sepal.width	petal.length	petal.width	variety
6.5	10.0	4.1	Virginica
5.0	2.4	2.8	Setosa
4.0	7.6	3.9	Versicolor
6.9	5.6	4.3	Versicolor
5.0	8.7	5.0	Virginica
6.2	6.1	1.6	Versicolor
8.0	1.7	2.7	Setosa
5.5	9.5	5.9	Virginica
6.1	7.9	5.6	Virginica
4.5	3.9	2.7	Setosa
5.7	4.9	3.2	Setosa
3.6	9.5	3.8	Virginica
8.9	5.5	0.4	Setosa
5.5	8.5	5.3	Versicolor
4.8	4.3	2.3	Setosa
4.3	5.0	1.8	Versicolor
7.0	1.3	2.7	Setosa
6.9	6.0	0.7	Setosa
5.3	6.2	6.6	Virginica
5.9	8.8	5.3	Versicolor
7.7	5.6	1.7	Setosa
3.0	4.5	3.1	Versicolor
5.3	2.4	4.9	Setosa
4.1	6.1	7.0	Virginica
6.4	6.2	3.2	Setosa
3.6	5.1	6.3	Virginica
7.6	4.9	1.9	Versicolor
6.0	3.4	2.7	Setosa
5.7	8.3	4.8	Virginica
6.7	7.2	4.3	Versicolor
5.6	2.4	0.1	Setosa
4.5	7.0	4.5	Versicolor
7.4	1.5	3.7	Setosa
6.8	8.6	4.4	Virginica
6.9	5.8	3.4	Setosa
5.7	1.4	3.2	Setosa
3.8	3.4	4.7	Setosa
5.4	5.6	6.4	Virginica
3.2	5.8	3.4	Virginica
5.3	3.3	1.0	Versicolor
4.0	3.6	4.6	Setosa
5.2	5.8	3.8	Versicolor
3.6	2.0	4.2	Setosa
5.2	7.6	3.0	Versicolor
5.0	1.9	0.8	Setosa
7.3	7.3	5.3	Virginica
2.9	5.6	3.3	Versicolor
4.5	7.8	3.3	Virginica
7.1	7.4	3.2	Versicolor
3.9	3.9	0.2	Setosa
7.0	6.6	5.8	Virginica
4.7	6.9	2.7	Versicolor
7.2	4.5	6.0	Versicolor
3.7	6.0	5.5	Versicolor
7.8	2.5	4.8	Setosa
5.2	7.5	2.5	Versicolor
4.6	3.0	4.7	Setosa
7.2	5.3	2.7	Setosa
7.9	7.4	5.3	Virginica
3.2	8.5	3.5	Virginica
6.8	7.7	3.2	Virginica
6.3	6.7	4.2	Versicolor
5.5	10.6	5.6	Virginica
4.7	5.5	0.9	Setosa
7.3	5.0	5.8	Versicolor
6.1	6.6	3.4	Virginica
5.6	11.4	6.3	Virginica
6.8	5.1	6.0	Virginica
5.3	8.2	3.6	Versicolor
4.1	4.5	2.6	Setosa
5.2	6.5	3.8	Virginica
6.5	6.8	2.6	Virginica
4.6	6.5	3.2	Versicolor
6.0	7.2	3.2	Versicolor
4.8	5.9	5.0	Virginica
3.2	5.2	4.2	Setosa
4.0	7.8	3.2	Virginica
3.9	3.6	1.9	Setosa
4.8	5.2	2.3	Setosa
2.9	6.3	1.1	Versicolor
5.0	5.4	2.1	Setosa
3.9	6.2	2.9	Setosa
3.1	9.6	6.4	Virginica
5.0	5.4	5.6	Versicolor
7.2	3.0	0.2	Setosa
4.0	5.4	5.8	Virginica
5.8	7.2	6.0	Virginica
5.3	10.6	3.4	Virginica
6.5	7.0	5.0	Virginica
3.7	8.2	3.8	Virginica
7.5	9.5	2.8	Virginica
5.0	9.5	3.2	Versicolor
4.7	2.8	0.2	Setosa
6.9	9.2	5.4	Versicolor
7.4	6.1	2.2	Setosa
5.4	2.5	1.4	Setosa
4.2	8.1	3.5	Virginica
3.6	3.4	3.2	Setosa
5.2	6.6	3.4	Virginica
3.0	6.1	3.8	Versicolor
3.0	8.7	6.3	Virginica
7.5	1.8	0.8	Setosa
5.3	6.1	1.8	Versicolor
4.8	4.6	2.0	Versicolor
3.5	5.6	2.7	Setosa
