petal.width	variety
4.2	Setosa
7.0	Virginica
3.2	Setosa
3.3	Virginica
3.9	Versicolor
2.2	Setosa
2.5	Virginica
2.3	Versicolor
3.8	Virginica
3.2	Setosa
1.8	Setosa
2.6	Setosa
4.6	Versicolor
3.6	Versicolor
6.0	Versicolor
2.8	Setosa
6.4	Virginica
3.2	Virginica
4.3	Versicolor
2.3	Virginica
1.5	Versicolor
3.0	Virginica
5.1	Virginica
2.0	Versicolor
4.3	Setosa
4.3	Versicolor
5.3	Virginica
2.2	Setosa
0.2	Setosa
5.8	Versicolor
5.6	Virginica
6.5	Virginica
2.7	Setosa
6.8	Virginica
2.7	Setosa
4.7	Setosa
1.8	Virginica
4.8	Versicolor
3.9	Setosa
2.6	Virginica
1.9	Versicolor
1.5	Versicolor
3.8	Virginica
6.9	Virginica
1.9	Setosa
5.5	Versicolor
4.2	Setosa
3.2	Setosa
4.3	Virginica
5.2	Virginica
3.3	Virginica
1.0	Versicolor
1.8	Virginica
1.1	Setosa
5.5	Versicolor
3.8	Setosa
4.7	Setosa
2.7	Versicolor
2.5	Versicolor
5.5	Versicolor
1.7	Versicolor
5.8	Versicolor
4.8	Virginica
1.2	Setosa
2.9	Versicolor
4.8	Versicolor
3.4	Virginica
2.6	Versicolor
2.7	Versicolor
3.5	Versicolor
4.6	Setosa
4.8	Versicolor
1.9	Setosa
4.5	Virginica
5.2	Virginica
5.1	Versicolor
4.7	Setosa
5.8	Versicolor
4.1	Setosa
4.8	Versicolor
5.8	Virginica
3.0	Virginica
3.8	Virginica
4.3	Versicolor
2.6	Virginica
3.4	Versicolor
2.3	Virginica
4.0	Setosa
4.7	Versicolor
3.6	Setosa
1.6	Setosa
2.7	Setosa
2.5	Versicolor
2.6	Virginica
5.5	Versicolor
3.0	Virginica
4.3	Setosa
5.0	Versicolor
3.7	Setosa
5.5	Versicolor
5.0	Virginica
2.7	Setosa
1.8	Virginica
2.8	Virginica
1.7	Setosa
