sepal.length	variety
4.6	Setosa
7.4	Virginica
6.1	Versicolor
7.6	Virginica
8.0	Versicolor
9.1	Versicolor
8.8	Virginica
10.1	Versicolor
8.4	Setosa
11.0	Virginica
8.2	Versicolor
7.6	Versicolor
8.2	Versicolor
7.1	Versicolor
9.7	Versicolor
7.1	Setosa
9.8	Versicolor
6.1	Versicolor
9.7	Virginica
7.0	Setosa
7.2	Setosa
9.9	Setosa
7.3	Virginica
9.2	Virginica
9.4	Setosa
7.4	Versicolor
5.9	Setosa
9.5	Versicolor
7.7	Virginica
6.7	Versicolor
6.0	Versicolor
11.1	Virginica
6.6	Virginica
6.8	Setosa
10.4	Virginica
11.2	Virginica
8.6	Setosa
6.0	Setosa
9.2	Virginica
4.6	Setosa
9.0	Setosa
6.9	Virginica
5.6	Setosa
9.0	Setosa
6.0	Setosa
8.2	Virginica
4.9	Setosa
7.7	Setosa
5.9	Virginica
9.9	Virginica
11.9	Virginica
6.4	Setosa
9.3	Versicolor
5.8	Setosa
8.6	Setosa
10.0	Virginica
10.1	Virginica
6.0	Versicolor
4.9	Versicolor
9.7	Versicolor
9.3	Virginica
10.5	Versicolor
8.7	Virginica
10.4	Virginica
9.9	Versicolor
8.2	Virginica
8.6	Versicolor
8.7	Virginica
8.7	Versicolor
8.3	Virginica
4.7	Setosa
8.5	Setosa
8.6	Versicolor
6.1	Versicolor
9.0	Versicolor
7.4	Virginica
9.3	Virginica
6.9	Virginica
9.5	Versicolor
7.6	Versicolor
8.0	Versicolor
7.9	Versicolor
9.6	Setosa
8.1	Versicolor
8.2	Virginica
5.3	Setosa
9.7	Setosa
6.6	Setosa
8.8	Virginica
6.7	Setosa
5.5	Versicolor
9.4	Setosa
7.7	Versicolor
9.1	Setosa
8.8	Virginica
6.4	Setosa
8.5	Setosa
7.1	Versicolor
7.3	Virginica
8.8	Virginica
7.6	Setosa
7.7	Versicolor
7.3	Setosa
9.8	Setosa
10.3	Virginica
