petal.length	variety
5.5	Virginica
4.5	Setosa
9.4	Versicolor
7.6	Versicolor
5.2	Setosa
5.5	Versicolor
8.9	Versicolor
1.5	Setosa
5.8	Setosa
5.0	Versicolor
8.2	Versicolor
7.4	Virginica
5.7	Virginica
5.8	Virginica
7.5	Versicolor
5.9	Setosa
8.4	Virginica
2.8	Setosa
6.0	Versicolor
3.6	Setosa
9.4	Versicolor
6.0	Virginica
1.4	Setosa
8.9	Versicolor
3.1	Setosa
6.8	Versicolor
4.6	Versicolor
4.7	Versicolor
7.8	Versicolor
1.5	Setosa
3.9	Setosa
5.9	Versicolor
8.7	Versicolor
2.5	Setosa
6.1	Setosa
6.6	Virginica
8.5	Virginica
6.2	Setosa
9.0	Versicolor
6.7	Virginica
8.7	Virginica
9.2	Versicolor
9.3	Virginica
6.7	Versicolor
1.6	Setosa
3.6	Setosa
4.5	Setosa
9.1	Virginica
10.4	Virginica
8.2	Versicolor
5.7	Virginica
6.1	Versicolor
8.5	Versicolor
8.8	Virginica
2.4	Setosa
6.4	Virginica
8.5	Versicolor
6.9	Virginica
4.0	Setosa
3.8	Setosa
5.6	Setosa
4.8	Setosa
6.7	Versicolor
7.9	Versicolor
5.6	Virginica
6.1	Versicolor
8.1	Virginica
7.1	Virginica
6.1	Versicolor
6.0	Setosa
2.5	Setosa
5.6	Virginica
1.7	Setosa
4.1	Setosa
2.0	Setosa
8.0	Versicolor
2.9	Setosa
5.7	Setosa
7.0	Virginica
9.8	Virginica
10.3	Virginica
8.4	Virginica
6.2	Versicolor
8.4	Virginica
2.4	Setosa
8.4	Versicolor
6.6	Virginica
9.1	Virginica
8.2	Versicolor
6.1	Virginica
8.2	Virginica
8.8	Virginica
1.8	Setosa
8.5	Versicolor
9.8	Virginica
5.5	Versicolor
4.3	Versicolor
9.0	Virginica
3.9	Setosa
3.5	Setosa
8.6	Virginica
8.0	Versicolor
8.4	Versicolor
5.6	Versicolor
6.1	Versicolor
