sepal.width	petal.length	variety
7.1	9.4	Virginica
5.2	2.5	Setosa
3.5	1.9	Setosa
5.5	7.7	Versicolor
5.0	4.3	Setosa
4.7	3.9	Versicolor
6.2	5.8	Setosa
4.6	7.5	Versicolor
8.3	6.1	Setosa
3.0	4.4	Versicolor
2.8	7.6	Versicolor
5.9	7.1	Versicolor
7.3	4.6	Versicolor
6.3	4.8	Setosa
6.4	7.8	Versicolor
3.2	6.0	Virginica
3.0	5.5	Virginica
4.9	4.8	Setosa
7.8	7.0	Virginica
3.4	7.5	Versicolor
8.7	3.4	Setosa
5.4	10.1	Virginica
5.2	7.8	Versicolor
6.0	2.4	Setosa
7.2	3.5	Setosa
3.9	8.1	Virginica
5.0	5.6	Virginica
4.5	3.1	Setosa
3.0	6.7	Virginica
3.5	2.9	Setosa
5.6	4.5	Setosa
6.7	7.7	Versicolor
6.5	5.8	Virginica
7.6	8.2	Versicolor
5.5	4.2	Setosa
7.2	8.6	Virginica
6.2	5.9	Versicolor
7.1	9.6	Virginica
6.6	3.5	Setosa
3.2	5.1	Virginica
6.0	9.1	Virginica
4.9	4.5	Versicolor
7.9	4.2	Setosa
8.4	3.5	Setosa
6.4	3.9	Setosa
7.4	7.3	Versicolor
3.5	7.4	Versicolor
3.2	6.3	Virginica
4.1	2.0	Setosa
4.1	4.5	Setosa
4.3	5.9	Setosa
3.0	5.0	Versicolor
5.3	4.4	Setosa
6.4	1.9	Setosa
7.5	8.1	Versicolor
7.7	5.9	Virginica
7.3	5.8	Versicolor
3.0	4.6	Setosa
7.2	5.6	Versicolor
4.4	4.8	Versicolor
3.4	8.3	Virginica
7.2	1.8	Setosa
7.3	7.5	Versicolor
4.5	6.4	Versicolor
3.6	2.9	Setosa
3.1	6.0	Virginica
3.5	6.0	Setosa
6.0	4.5	Versicolor
2.9	7.2	Versicolor
3.4	5.7	Setosa
4.8	9.7	Virginica
4.8	6.2	Virginica
2.2	4.5	Versicolor
4.1	11.4	Virginica
6.7	8.5	Versicolor
4.0	8.8	Virginica
4.5	6.1	Setosa
5.4	4.0	Setosa
5.7	3.5	Setosa
5.0	7.8	Virginica
6.0	5.4	Setosa
3.2	5.7	Setosa
5.0	9.4	Virginica
6.8	7.8	Versicolor
7.4	6.1	Versicolor
6.3	8.5	Versicolor
4.5	8.2	Versicolor
6.2	8.0	Virginica
3.4	4.8	Versicolor
3.4	1.4	Setosa
5.8	6.2	Setosa
6.8	6.7	Versicolor
4.5	10.3	Virginica
5.7	5.4	Virginica
7.5	5.6	Versicolor
7.6	8.6	Virginica
2.5	5.5	Versicolor
5.3	4.8	Virginica
6.1	1.0	Setosa
5.3	5.1	Virginica
7.3	7.7	Virginica
3.7	7.2	Virginica
7.3	8.4	Virginica
5.0	6.9	Virginica
7.9	1.6	Setosa
