sepal.length	sepal.width	petal.length	variety
12.2	6.6	7.9	Virginica
10.0	5.2	5.5	Versicolor
9.7	5.9	1.5	Setosa
8.2	5.2	7.0	Versicolor
6.7	4.0	4.2	Versicolor
5.5	4.0	6.1	Setosa
9.4	7.0	6.0	Versicolor
6.1	7.0	5.5	Versicolor
7.5	4.8	1.4	Setosa
7.5	7.9	3.6	Setosa
9.7	3.6	6.2	Versicolor
8.6	7.3	1.5	Setosa
9.2	7.7	5.3	Setosa
8.6	4.3	6.4	Setosa
7.3	6.1	4.0	Versicolor
7.8	2.9	9.6	Virginica
8.9	4.2	5.3	Virginica
10.4	4.1	6.4	Virginica
8.0	3.0	6.5	Versicolor
9.1	5.0	7.4	Versicolor
7.7	4.8	9.2	Virginica
7.0	2.8	7.1	Versicolor
7.3	3.3	4.7	Versicolor
9.4	5.1	7.5	Virginica
7.1	7.0	5.4	Setosa
10.4	6.2	7.3	Versicolor
7.1	3.6	2.0	Setosa
9.0	5.2	9.0	Virginica
10.0	6.0	6.5	Versicolor
10.1	4.0	7.9	Versicolor
6.1	5.8	2.6	Setosa
7.0	6.2	5.1	Versicolor
9.4	3.5	7.2	Versicolor
6.0	7.5	1.3	Setosa
8.0	3.0	5.8	Virginica
10.1	5.5	11.1	Virginica
5.3	5.5	1.4	Setosa
8.3	7.1	4.6	Setosa
5.6	4.4	6.1	Versicolor
6.1	2.7	8.2	Versicolor
9.7	3.0	6.8	Virginica
7.5	3.5	6.0	Virginica
9.0	7.5	9.3	Virginica
7.5	7.2	4.7	Versicolor
9.7	6.7	9.5	Virginica
6.1	3.7	4.4	Setosa
9.6	5.0	8.1	Versicolor
7.9	6.6	5.6	Virginica
7.8	5.2	9.4	Virginica
7.7	7.3	9.2	Virginica
10.2	7.1	7.1	Virginica
5.8	6.0	1.4	Setosa
6.8	3.8	6.6	Virginica
8.8	3.3	7.3	Versicolor
10.8	3.2	6.9	Virginica
8.8	3.8	4.4	Versicolor
7.7	5.0	6.7	Virginica
6.0	5.9	4.8	Versicolor
6.9	4.1	3.4	Setosa
6.5	2.3	4.8	Versicolor
10.2	4.5	7.0	Versicolor
10.7	4.3	6.3	Virginica
5.9	6.9	6.0	Setosa
9.7	4.4	4.8	Versicolor
9.2	4.4	2.4	Setosa
7.9	5.0	4.3	Setosa
9.5	4.5	5.3	Setosa
6.2	5.8	4.2	Setosa
5.1	4.7	6.0	Setosa
8.4	6.1	5.0	Setosa
8.9	4.6	2.0	Setosa
11.0	6.0	6.2	Virginica
8.0	7.2	5.1	Virginica
10.7	4.8	9.2	Virginica
5.6	3.4	2.9	Setosa
7.6	5.5	9.4	Virginica
8.9	5.2	6.8	Virginica
7.5	6.2	1.7	Setosa
7.0	6.4	9.0	Versicolor
6.4	7.3	6.6	Virginica
9.3	2.7	4.6	Versicolor
8.0	3.9	6.2	Versicolor
5.9	3.9	1.4	Setosa
7.2	4.8	5.0	Versicolor
7.3	5.8	7.5	Virginica
9.5	5.6	2.4	Setosa
9.8	3.4	6.8	Virginica
5.0	4.4	3.0	Setosa
4.8	5.5	2.6	Setosa
8.7	4.2	5.1	Setosa
9.8	3.2	6.9	Versicolor
9.5	6.7	2.9	Setosa
8.4	4.6	8.4	Versicolor
5.7	5.9	5.2	Versicolor
7.1	6.0	7.9	Virginica
5.1	4.3	6.2	Setosa
8.2	4.3	6.2	Virginica
9.6	2.8	5.4	Virginica
8.9	5.5	6.6	Virginica
5.2	5.6	2.0	Setosa
7.1	4.1	10.1	Virginica
8.3	7.9	6.1	Virginica
9.7	4.1	6.0	Versicolor
9.1	8.1	1.0	Setosa
8.3	5.2	2.0	Setosa
