sepal.length	sepal.width	variety
9.2	7.1	Virginica
9.5	5.8	Versicolor
8.5	5.5	Setosa
10.7	3.4	Virginica
6.6	4.5	Setosa
8.4	5.2	Setosa
9.9	4.4	Setosa
10.2	5.8	Virginica
9.0	6.5	Virginica
11.4	7.3	Virginica
7.5	6.7	Versicolor
8.0	5.7	Versicolor
9.0	6.4	Setosa
9.8	4.5	Versicolor
6.1	6.8	Setosa
7.1	4.8	Versicolor
4.9	4.5	Setosa
6.4	6.4	Versicolor
6.8	2.8	Virginica
10.3	3.4	Virginica
9.2	6.1	Versicolor
7.5	3.8	Setosa
7.7	7.2	Versicolor
9.6	4.4	Versicolor
11.6	4.0	Virginica
5.4	6.5	Setosa
10.3	3.2	Versicolor
8.8	2.3	Versicolor
5.3	3.4	Setosa
8.1	4.0	Versicolor
6.0	6.5	Versicolor
9.5	5.7	Setosa
6.2	8.6	Setosa
8.9	3.5	Versicolor
8.9	7.2	Virginica
8.3	5.8	Versicolor
7.8	5.2	Virginica
10.5	7.4	Versicolor
6.0	4.4	Setosa
6.8	5.0	Setosa
5.5	7.1	Versicolor
8.6	7.2	Setosa
10.3	6.2	Virginica
5.1	4.0	Setosa
8.7	3.3	Versicolor
7.7	4.5	Virginica
8.6	3.6	Setosa
9.9	5.6	Virginica
6.7	5.8	Virginica
11.2	7.1	Virginica
7.5	4.8	Versicolor
7.3	6.2	Versicolor
9.4	7.1	Virginica
9.5	4.7	Virginica
6.1	5.5	Versicolor
5.7	5.2	Setosa
5.7	8.9	Setosa
9.1	8.3	Setosa
8.2	4.7	Setosa
9.0	4.7	Setosa
8.0	4.5	Setosa
10.8	3.4	Virginica
7.9	4.2	Virginica
5.9	5.4	Setosa
8.5	6.7	Versicolor
7.0	7.0	Virginica
9.8	4.5	Virginica
6.4	4.4	Setosa
7.9	6.8	Virginica
9.9	4.1	Virginica
7.3	6.5	Virginica
10.7	5.0	Virginica
5.6	2.8	Virginica
8.4	2.8	Virginica
8.5	5.4	Versicolor
8.1	4.5	Virginica
7.6	3.3	Setosa
8.2	4.8	Setosa
6.7	3.7	Versicolor
10.0	7.0	Virginica
8.2	6.5	Versicolor
7.8	7.2	Setosa
8.9	3.1	Versicolor
7.2	7.0	Virginica
10.1	6.5	Versicolor
5.3	6.0	Setosa
7.7	4.3	Virginica
8.2	5.8	Virginica
10.3	6.3	Virginica
6.5	4.7	Virginica
8.9	5.5	Virginica
8.8	4.1	Setosa
7.4	2.5	Virginica
7.1	3.6	Virginica
5.3	6.5	Setosa
7.4	7.1	Setosa
9.8	4.9	Virginica
9.2	3.4	Versicolor
6.8	5.9	Setosa
5.6	3.4	Versicolor
5.4	3.9	Versicolor
10.5	3.9	Versicolor
5.6	4.4	Setosa
9.8	3.8	Versicolor
5.5	2.5	Versicolor
