sepal.length	sepal.width	petal.length	petal.width	variety
10.2	3.6	11.4	5.8	Virginica
9.8	7.2	5.6	2.9	Virginica
7.4	4.9	4.7	4.9	Setosa
4.5	2.3	1.8	2.8	Setosa
10.3	4.8	10.0	5.5	Virginica
7.9	5.6	4.0	2.6	Setosa
7.8	5.5	5.4	1.6	Setosa
5.6	4.2	5.2	5.8	Versicolor
7.9	3.2	7.0	2.5	Versicolor
11.2	3.3	11.2	2.0	Virginica
8.7	3.0	7.0	5.2	Versicolor
7.1	7.9	3.0	4.2	Setosa
11.1	3.9	8.6	3.8	Versicolor
8.9	4.7	6.8	3.3	Versicolor
8.9	3.9	4.3	4.5	Versicolor
9.6	4.8	3.7	5.0	Setosa
8.4	7.0	4.7	4.5	Versicolor
6.1	8.3	4.6	0.2	Setosa
7.6	4.4	5.7	5.9	Versicolor
7.7	6.9	8.7	4.8	Versicolor
8.7	6.9	7.4	4.8	Virginica
8.2	7.1	6.7	3.5	Versicolor
7.9	5.1	3.5	0.2	Setosa
5.0	5.0	7.5	2.5	Versicolor
9.2	4.6	6.1	2.9	Virginica
7.0	3.4	3.7	1.5	Versicolor
9.1	6.1	2.0	2.2	Setosa
6.7	4.1	5.4	5.4	Versicolor
8.2	7.3	8.7	3.7	Virginica
10.9	4.7	8.3	3.9	Virginica
7.6	8.0	3.9	1.2	Setosa
9.7	4.1	5.0	5.0	Versicolor
10.4	7.7	5.7	5.8	Virginica
9.4	7.0	6.0	1.7	Virginica
8.7	3.8	7.7	3.1	Virginica
7.3	4.2	9.4	2.3	Virginica
5.2	4.7	3.6	2.2	Setosa
8.6	5.3	4.5	4.3	Setosa
9.1	2.9	7.6	3.8	Versicolor
7.9	5.6	8.4	2.1	Virginica
11.2	4.8	8.7	2.5	Virginica
7.2	4.6	1.5	2.1	Setosa
10.5	6.0	7.3	3.3	Virginica
9.2	5.4	4.0	3.9	Setosa
9.2	4.6	9.1	3.0	Virginica
5.7	6.8	4.6	4.3	Versicolor
10.8	3.4	9.3	4.3	Virginica
8.3	8.2	1.5	0.2	Setosa
9.3	2.9	10.1	2.3	Virginica
6.3	5.8	5.7	2.6	Versicolor
10.3	6.8	6.8	1.9	Versicolor
5.8	3.6	1.6	1.7	Setosa
8.8	5.7	7.9	2.8	Virginica
9.3	6.2	9.1	1.9	Virginica
8.4	6.6	8.6	4.8	Virginica
9.5	5.0	1.3	0.2	Setosa
9.5	6.0	6.7	6.5	Virginica
6.1	8.2	2.5	3.4	Setosa
5.2	8.0	6.0	1.2	Setosa
11.6	6.5	9.4	5.6	Virginica
7.7	3.5	8.8	2.6	Virginica
10.3	6.9	6.6	4.4	Virginica
6.0	6.3	7.8	4.0	Versicolor
8.8	3.5	2.1	2.1	Setosa
6.5	5.0	2.6	4.7	Setosa
7.1	7.0	1.9	4.3	Setosa
8.9	6.3	8.6	5.9	Virginica
7.4	6.8	9.6	6.7	Virginica
5.7	3.3	6.0	2.8	Versicolor
6.1	7.3	5.0	2.3	Versicolor
6.4	5.9	3.5	1.4	Setosa
5.6	4.6	2.5	2.7	Setosa
10.1	4.5	4.9	3.4	Versicolor
10.3	5.8	8.9	4.3	Versicolor
6.9	7.1	4.4	0.6	Setosa
6.5	5.9	6.1	3.9	Setosa
9.9	5.4	6.2	0.2	Setosa
5.8	6.7	7.4	5.2	Versicolor
6.3	7.0	7.0	4.4	Virginica
5.9	6.0	1.8	4.2	Setosa
7.9	4.1	8.0	2.3	Virginica
10.3	8.5	5.2	4.2	Setosa
7.0	6.7	3.4	2.7	Setosa
6.6	7.1	5.6	5.4	Virginica
7.5	4.3	4.6	6.0	Versicolor
8.9	7.2	5.3	4.2	Setosa
7.4	5.9	7.8	2.3	Versicolor
6.9	7.5	2.4	0.7	Setosa
8.4	4.2	5.8	4.3	Virginica
7.0	6.2	5.1	6.5	Virginica
9.8	5.1	8.0	3.2	Versicolor
8.0	6.4	6.0	3.7	Setosa
8.6	6.5	7.0	3.5	Versicolor
10.0	2.6	4.4	3.7	Versicolor
9.2	6.7	5.5	2.5	Versicolor
7.7	3.5	7.2	3.3	Virginica
9.7	5.5	8.7	5.2	Versicolor
7.9	5.8	7.6	3.1	Virginica
7.0	3.3	7.5	5.3	Versicolor
8.7	5.9	7.8	4.3	Versicolor
6.3	5.3	7.1	3.0	Virginica
8.7	5.5	7.0	6.0	Virginica
10.8	3.5	6.9	5.5	Versicolor
7.6	4.0	8.6	4.8	Versicolor
7.9	4.4	1.3	4.4	Setosa
