sepal.width	petal.length	petal.width	variety
3.0	4.7	4.5	Versicolor
3.9	2.9	1.2	Setosa
7.1	8.1	6.4	Virginica
7.9	1.3	2.9	Setosa
6.9	2.9	4.7	Setosa
6.3	5.6	6.9	Virginica
5.9	3.6	2.3	Versicolor
4.5	8.7	6.0	Virginica
7.3	8.8	2.8	Virginica
5.9	9.4	2.3	Virginica
6.1	6.0	4.7	Setosa
6.0	5.0	4.5	Versicolor
7.3	6.2	3.7	Versicolor
3.8	3.6	1.7	Setosa
6.2	2.0	1.4	Setosa
4.8	6.9	3.5	Virginica
3.6	5.0	4.0	Versicolor
4.4	4.7	5.0	Versicolor
5.8	6.6	5.3	Versicolor
4.1	9.2	4.0	Versicolor
5.5	4.5	4.2	Virginica
6.1	6.6	2.3	Virginica
5.7	5.7	2.4	Versicolor
4.5	1.6	2.6	Setosa
2.9	3.8	2.1	Versicolor
6.3	5.0	5.8	Versicolor
3.7	8.2	6.3	Virginica
6.8	1.8	4.8	Setosa
5.6	4.9	3.0	Versicolor
5.5	6.5	5.6	Virginica
7.0	9.1	4.4	Versicolor
7.0	5.8	5.8	Virginica
6.9	5.5	2.2	Setosa
4.0	5.7	1.2	Versicolor
4.7	5.0	4.0	Virginica
4.1	9.0	4.8	Virginica
3.4	5.1	2.7	Setosa
7.0	4.5	3.8	Versicolor
5.0	9.6	4.1	Virginica
6.8	4.5	1.8	Versicolor
4.3	8.2	5.1	Versicolor
3.1	6.9	6.1	Virginica
4.7	2.1	4.2	Setosa
2.6	9.4	2.8	Virginica
7.0	1.3	3.3	Setosa
6.9	4.5	3.6	Versicolor
7.3	5.4	2.4	Setosa
5.7	5.9	2.7	Setosa
3.0	6.5	5.5	Virginica
5.8	9.6	3.5	Virginica
6.3	6.6	6.1	Virginica
4.2	1.4	2.7	Setosa
3.0	6.4	4.9	Versicolor
7.4	5.2	4.8	Versicolor
5.6	1.9	1.7	Setosa
8.1	1.5	1.2	Setosa
3.4	6.6	2.3	Virginica
7.7	4.0	0.2	Setosa
5.5	6.3	3.1	Virginica
4.3	4.5	4.3	Setosa
4.1	10.6	7.0	Virginica
5.7	9.0	4.5	Versicolor
7.3	7.1	4.5	Versicolor
5.3	3.7	3.5	Setosa
5.0	2.0	0.2	Setosa
3.2	9.1	4.9	Virginica
3.0	8.1	3.8	Virginica
5.9	4.5	4.2	Setosa
4.0	1.4	2.6	Setosa
7.9	5.9	1.3	Setosa
5.9	2.0	4.9	Setosa
7.3	6.0	3.3	Versicolor
5.8	5.9	4.2	Setosa
4.6	5.9	4.7	Versicolor
6.3	9.7	2.1	Virginica
7.3	8.2	5.5	Virginica
3.1	6.4	5.4	Versicolor
6.9	9.1	6.4	Virginica
3.4	6.1	4.4	Setosa
4.3	6.8	1.5	Versicolor
4.8	7.9	2.8	Versicolor
7.2	5.7	2.7	Setosa
7.5	3.3	3.2	Setosa
7.2	8.4	2.3	Virginica
7.8	9.2	6.2	Virginica
7.0	7.9	1.1	Versicolor
3.7	6.6	5.4	Virginica
4.4	9.0	3.5	Versicolor
8.5	5.2	3.2	Setosa
6.6	2.9	3.1	Setosa
6.7	6.0	3.8	Virginica
4.5	10.3	3.2	Virginica
3.5	8.9	5.8	Virginica
7.0	9.4	3.0	Versicolor
4.0	9.0	5.0	Versicolor
4.0	1.9	1.3	Setosa
5.0	1.6	0.7	Setosa
3.5	5.1	2.6	Setosa
7.2	8.8	3.8	Virginica
2.7	5.5	4.0	Versicolor
4.2	8.6	1.5	Versicolor
6.3	8.7	4.0	Virginica
5.5	8.7	6.3	Virginica
5.4	3.4	2.2	Setosa
6.4	7.2	1.9	Versicolor
