petal.width	variety
3.6	Versicolor
4.8	Versicolor
5.4	Virginica
3.8	Setosa
2.8	Virginica
4.4	Versicolor
1.8	Versicolor
3.7	Setosa
2.6	Versicolor
4.5	Virginica
1.2	Setosa
2.9	Versicolor
0.8	Setosa
0.4	Setosa
4.0	Versicolor
0.4	Setosa
5.8	Versicolor
5.3	Versicolor
3.5	Versicolor
1.7	Setosa
1.7	Setosa
3.5	Versicolor
4.5	Virginica
4.0	Virginica
5.8	Virginica
5.3	Virginica
5.8	Versicolor
3.8	Virginica
3.7	Versicolor
1.7	Setosa
2.1	Virginica
2.6	Virginica
3.3	Setosa
5.5	Versicolor
2.4	Virginica
2.4	Virginica
2.4	Versicolor
4.8	Versicolor
5.0	Versicolor
0.2	Setosa
2.3	Virginica
4.8	Versicolor
0.4	Setosa
1.7	Setosa
3.6	Virginica
3.8	Virginica
4.2	Setosa
1.5	Versicolor
0.7	Setosa
1.8	Virginica
3.6	Setosa
6.3	Virginica
4.5	Versicolor
4.4	Virginica
1.7	Setosa
3.2	Versicolor
2.6	Versicolor
2.7	Setosa
6.2	Virginica
4.1	Setosa
3.5	Versicolor
1.8	Versicolor
2.6	Setosa
4.5	Virginica
0.8	Setosa
3.7	Setosa
2.2	Setosa
1.2	Setosa
1.8	Setosa
2.7	Setosa
3.2	Setosa
0.5	Setosa
3.8	Virginica
2.9	Setosa
6.9	Virginica
1.3	Setosa
5.5	Virginica
2.7	Setosa
3.8	Virginica
0.7	Setosa
0.4	Setosa
2.2	Setosa
2.2	Setosa
1.7	Virginica
4.8	Virginica
2.0	Versicolor
5.4	Virginica
5.1	Virginica
1.1	Setosa
2.6	Virginica
1.9	Versicolor
2.7	Setosa
3.7	Setosa
2.1	Virginica
3.2	Setosa
3.9	Virginica
3.2	Versicolor
5.0	Versicolor
1.8	Virginica
0.4	Setosa
3.3	Virginica
5.7	Virginica
1.0	Versicolor
1.4	Versicolor
5.0	Versicolor
