petal.length	variety
6.4	Versicolor
10.3	Virginica
9.0	Versicolor
10.0	Virginica
4.6	Setosa
8.2	Versicolor
5.0	Versicolor
2.4	Setosa
7.7	Versicolor
9.2	Virginica
3.7	Setosa
6.8	Versicolor
5.9	Setosa
9.4	Versicolor
7.5	Versicolor
6.4	Versicolor
4.0	Setosa
4.0	Setosa
10.6	Virginica
7.7	Virginica
5.2	Versicolor
8.2	Virginica
2.0	Setosa
6.3	Versicolor
7.5	Virginica
3.9	Setosa
2.3	Setosa
3.2	Setosa
3.5	Setosa
2.4	Setosa
2.4	Setosa
6.9	Virginica
8.1	Versicolor
4.0	Setosa
7.1	Versicolor
6.9	Versicolor
3.8	Setosa
9.5	Virginica
10.2	Virginica
9.0	Versicolor
5.4	Versicolor
2.5	Setosa
8.4	Versicolor
8.6	Virginica
5.7	Versicolor
7.7	Versicolor
1.6	Setosa
9.9	Virginica
5.8	Virginica
3.0	Setosa
8.1	Virginica
6.8	Virginica
9.6	Virginica
5.5	Versicolor
7.6	Versicolor
3.6	Versicolor
6.6	Versicolor
2.1	Setosa
5.6	Versicolor
2.4	Setosa
9.3	Virginica
8.5	Virginica
9.6	Virginica
8.2	Virginica
6.4	Virginica
6.0	Versicolor
4.5	Versicolor
4.3	Setosa
6.0	Setosa
7.9	Virginica
6.1	Virginica
2.4	Setosa
5.3	Versicolor
2.5	Setosa
6.6	Virginica
5.1	Setosa
8.4	Versicolor
7.8	Versicolor
7.2	Virginica
3.5	Setosa
8.0	Versicolor
4.7	Versicolor
4.6	Setosa
2.2	Setosa
1.5	Setosa
9.6	Virginica
4.3	Setosa
5.4	Setosa
8.3	Virginica
7.5	Virginica
9.6	Virginica
5.8	Versicolor
6.4	Virginica
5.5	Setosa
8.1	Versicolor
8.5	Versicolor
4.9	Setosa
1.0	Setosa
7.5	Versicolor
5.0	Virginica
1.8	Setosa
3.9	Setosa
8.3	Virginica
6.7	Versicolor
6.1	Virginica
