sepal.length	variety
5.6	Setosa
10.3	Virginica
10.2	Virginica
9.9	Versicolor
11.2	Versicolor
5.7	Setosa
8.6	Versicolor
9.1	Versicolor
7.5	Versicolor
5.6	Setosa
7.7	Versicolor
6.4	Virginica
8.5	Versicolor
8.2	Virginica
9.4	Setosa
10.1	Versicolor
11.6	Virginica
6.1	Setosa
9.2	Setosa
5.9	Setosa
9.5	Virginica
8.5	Versicolor
8.1	Versicolor
6.8	Setosa
11.2	Virginica
6.1	Versicolor
5.9	Virginica
5.9	Versicolor
8.1	Setosa
6.3	Setosa
7.3	Virginica
7.4	Setosa
7.4	Virginica
10.7	Versicolor
11.7	Virginica
8.9	Setosa
8.7	Virginica
7.2	Virginica
8.4	Setosa
8.6	Versicolor
6.4	Setosa
8.2	Versicolor
5.2	Setosa
8.0	Virginica
10.7	Virginica
8.3	Virginica
10.9	Virginica
8.3	Virginica
9.2	Setosa
9.5	Setosa
5.4	Setosa
6.9	Versicolor
6.0	Versicolor
6.6	Setosa
8.9	Virginica
9.9	Virginica
8.2	Virginica
6.9	Virginica
8.8	Versicolor
7.7	Versicolor
10.2	Virginica
5.7	Versicolor
7.1	Versicolor
8.7	Virginica
8.5	Setosa
6.3	Versicolor
6.5	Versicolor
8.7	Setosa
8.3	Virginica
6.3	Virginica
5.9	Setosa
9.7	Versicolor
11.6	Virginica
10.3	Versicolor
7.0	Setosa
8.7	Virginica
8.3	Setosa
8.6	Versicolor
8.8	Virginica
5.9	Setosa
7.4	Setosa
10.4	Versicolor
7.2	Versicolor
9.5	Versicolor
8.1	Setosa
6.6	Virginica
8.8	Setosa
11.2	Virginica
7.1	Versicolor
5.7	Versicolor
7.3	Setosa
8.2	Setosa
6.1	Setosa
4.6	Setosa
8.6	Setosa
9.6	Versicolor
7.3	Versicolor
7.1	Versicolor
8.0	Setosa
8.6	Virginica
6.0	Virginica
5.3	Setosa
6.5	Versicolor
8.4	Virginica
7.6	Virginica
