sepal.length	sepal.width	petal.length	petal.width	variety
9.5	3.2	5.1	5.1	Versicolor
7.7	3.8	4.1	2.8	Versicolor
5.5	3.9	5.0	4.2	Setosa
10.2	3.5	5.2	2.3	Virginica
9.8	6.3	8.1	4.9	Virginica
6.9	3.6	7.6	3.3	Virginica
6.8	4.0	4.4	3.1	Setosa
9.2	8.0	5.5	3.7	Setosa
6.6	7.5	7.9	2.9	Versicolor
8.9	5.0	6.1	5.8	Virginica
6.7	7.3	4.5	4.3	Versicolor
7.8	4.0	8.9	5.0	Versicolor
8.2	3.8	6.3	4.8	Virginica
6.7	5.9	4.0	4.4	Setosa
4.9	6.9	6.8	3.5	Versicolor
8.7	4.2	5.3	0.7	Setosa
7.4	5.5	7.2	6.0	Versicolor
6.8	4.7	6.1	1.5	Versicolor
8.7	6.5	9.0	2.7	Versicolor
7.0	5.6	6.4	3.2	Versicolor
5.5	5.8	3.4	0.7	Setosa
7.6	4.5	1.4	1.3	Setosa
9.7	3.2	6.9	5.4	Versicolor
7.0	6.1	5.4	2.7	Setosa
5.4	6.9	2.2	0.7	Setosa
10.9	3.9	4.3	2.3	Versicolor
7.7	7.0	5.5	6.0	Virginica
5.5	5.0	2.1	5.1	Setosa
6.9	5.3	7.6	4.6	Virginica
8.2	3.4	3.4	2.2	Setosa
11.3	3.2	9.4	3.8	Virginica
8.0	5.7	9.0	3.0	Virginica
7.4	5.8	7.6	5.2	Virginica
7.8	7.4	9.6	2.9	Virginica
5.5	6.2	1.7	3.7	Setosa
6.4	4.2	4.0	3.2	Setosa
8.0	4.9	4.5	3.0	Versicolor
10.1	3.3	7.0	3.3	Versicolor
12.4	6.3	10.9	4.0	Virginica
6.1	6.5	7.4	1.1	Versicolor
10.2	5.8	10.7	3.5	Virginica
8.7	7.3	10.2	6.2	Virginica
7.1	5.0	4.4	3.2	Setosa
6.6	6.0	7.0	2.1	Versicolor
6.3	4.5	3.7	1.7	Setosa
9.8	3.8	7.4	2.8	Versicolor
8.0	5.0	5.8	2.2	Virginica
8.3	6.9	5.6	5.8	Virginica
7.6	4.3	3.0	4.3	Setosa
7.8	4.0	2.4	3.3	Setosa
9.1	4.4	8.7	3.9	Versicolor
6.9	3.6	4.4	0.1	Setosa
7.3	4.5	8.0	2.1	Virginica
9.0	3.5	8.7	4.5	Virginica
9.9	6.2	10.2	4.8	Virginica
8.6	6.2	8.7	1.3	Versicolor
9.2	4.8	6.7	4.5	Virginica
5.8	5.9	3.4	3.7	Setosa
8.4	5.9	5.3	3.9	Setosa
8.9	5.2	1.3	0.2	Setosa
10.0	5.7	4.0	1.5	Versicolor
8.2	6.0	7.2	3.2	Versicolor
9.4	2.5	9.0	5.2	Virginica
5.9	7.7	6.3	4.8	Versicolor
6.4	5.1	9.0	3.3	Virginica
5.1	4.6	2.0	3.7	Setosa
10.2	2.2	6.5	5.5	Versicolor
7.2	4.1	7.1	4.4	Virginica
6.6	7.8	6.1	4.7	Setosa
9.6	4.8	7.7	5.7	Versicolor
6.8	3.9	3.1	2.7	Setosa
8.5	7.0	8.0	4.8	Versicolor
6.1	5.8	1.9	0.4	Setosa
10.3	7.3	9.2	6.1	Versicolor
8.5	5.2	4.9	0.7	Setosa
9.1	6.6	9.6	3.9	Virginica
5.9	6.5	3.9	0.7	Setosa
8.8	5.7	4.5	4.2	Setosa
7.6	5.5	10.1	6.1	Virginica
7.8	6.3	8.5	4.5	Virginica
11.2	6.6	8.4	5.4	Versicolor
5.1	5.2	4.0	4.4	Setosa
6.1	5.0	8.1	2.9	Versicolor
6.1	5.0	7.1	2.3	Versicolor
10.7	7.5	8.1	2.3	Virginica
6.8	5.2	6.6	5.9	Virginica
7.1	6.2	5.9	2.2	Setosa
7.1	5.3	4.9	4.5	Virginica
7.9	4.5	8.0	4.0	Versicolor
11.0	5.2	9.2	5.9	Versicolor
6.8	7.0	7.0	3.9	Virginica
8.6	6.0	8.4	2.3	Virginica
9.4	6.6	5.5	4.1	Setosa
4.6	6.1	4.0	0.7	Setosa
5.8	3.6	5.6	2.7	Setosa
6.7	5.1	5.5	2.0	Versicolor
7.4	8.4	3.2	0.4	Setosa
7.7	7.1	8.6	4.5	Virginica
8.9	3.6	6.4	6.0	Versicolor
10.7	7.0	8.3	5.1	Virginica
6.6	6.9	2.5	0.2	Setosa
6.4	5.7	5.3	4.8	Virginica
5.2	5.1	5.5	1.6	Setosa
6.2	4.4	4.3	5.8	Versicolor
10.0	2.9	7.7	2.5	Versicolor
