petal.length	petal.width	variety
5.7	2.6	Versicolor
5.6	1.6	Setosa
5.7	5.0	Versicolor
6.4	5.6	Virginica
4.0	2.7	Setosa
8.6	6.6	Virginica
6.9	4.0	Virginica
5.5	4.0	Versicolor
6.3	3.8	Versicolor
5.1	1.3	Versicolor
8.2	6.5	Virginica
6.2	3.0	Setosa
4.5	1.3	Setosa
7.5	4.3	Versicolor
7.3	4.3	Versicolor
5.3	2.4	Versicolor
6.4	5.8	Virginica
8.2	6.0	Virginica
6.9	5.3	Virginica
7.0	2.1	Versicolor
4.7	3.2	Versicolor
4.8	0.8	Setosa
7.1	5.9	Virginica
5.6	4.4	Virginica
5.8	5.8	Versicolor
5.4	4.7	Setosa
2.4	0.2	Setosa
6.2	4.0	Versicolor
5.1	5.4	Virginica
4.5	3.2	Setosa
11.4	2.3	Virginica
5.0	0.7	Setosa
7.3	3.8	Virginica
8.4	5.5	Virginica
5.6	2.8	Versicolor
5.0	2.5	Virginica
5.9	3.6	Setosa
6.2	6.1	Virginica
3.5	0.6	Setosa
5.8	2.0	Versicolor
9.1	4.3	Versicolor
4.0	3.2	Setosa
1.8	1.9	Setosa
6.9	2.3	Versicolor
8.6	5.4	Virginica
9.9	4.1	Virginica
7.8	6.3	Virginica
3.4	4.3	Setosa
8.6	3.5	Virginica
5.8	3.2	Setosa
2.0	1.2	Setosa
6.2	1.4	Versicolor
11.2	6.2	Virginica
6.8	2.6	Versicolor
4.5	1.9	Setosa
6.4	2.9	Versicolor
7.2	4.7	Versicolor
3.7	2.9	Setosa
3.6	2.4	Setosa
10.1	2.2	Virginica
5.0	4.7	Virginica
3.8	2.2	Setosa
8.5	3.6	Versicolor
1.6	4.7	Setosa
4.6	3.2	Setosa
5.5	1.8	Versicolor
5.6	2.5	Virginica
9.0	5.4	Virginica
9.7	5.8	Virginica
8.3	3.3	Virginica
1.6	3.7	Setosa
9.6	5.8	Virginica
8.1	4.0	Versicolor
8.0	4.3	Virginica
5.6	6.1	Versicolor
6.0	1.5	Versicolor
5.7	3.3	Versicolor
1.9	3.2	Setosa
6.0	2.5	Versicolor
5.9	1.7	Setosa
6.8	6.4	Virginica
6.5	6.0	Versicolor
7.1	4.9	Versicolor
4.9	3.4	Setosa
4.4	3.7	Versicolor
4.4	4.6	Versicolor
8.0	5.0	Versicolor
1.7	0.2	Setosa
7.1	5.8	Versicolor
5.0	1.7	Versicolor
9.8	5.6	Virginica
7.0	2.0	Virginica
6.0	0.7	Setosa
7.4	2.5	Versicolor
9.1	2.8	Virginica
10.3	3.3	Virginica
7.1	2.1	Virginica
5.9	4.3	Virginica
2.3	4.8	Setosa
3.9	2.2	Setosa
4.3	5.0	Versicolor
6.2	3.3	Versicolor
6.1	4.8	Virginica
6.0	1.4	Setosa
2.5	1.7	Setosa
