sepal.width	variety
6.7	Virginica
5.1	Virginica
4.1	Setosa
4.5	Setosa
5.0	Versicolor
4.9	Setosa
3.5	Setosa
4.3	Versicolor
3.3	Setosa
8.1	Setosa
6.0	Virginica
4.7	Versicolor
6.9	Setosa
3.8	Setosa
5.4	Setosa
5.8	Virginica
4.3	Virginica
2.8	Versicolor
3.0	Versicolor
3.8	Setosa
3.0	Virginica
6.5	Virginica
7.2	Versicolor
5.9	Versicolor
3.4	Setosa
3.4	Versicolor
7.0	Setosa
2.7	Versicolor
2.5	Versicolor
5.5	Virginica
6.4	Setosa
7.2	Versicolor
4.8	Versicolor
8.0	Setosa
5.4	Versicolor
5.0	Versicolor
6.2	Setosa
6.2	Virginica
7.5	Setosa
3.5	Virginica
5.1	Versicolor
6.0	Versicolor
4.2	Setosa
5.5	Setosa
7.2	Virginica
5.2	Setosa
5.0	Virginica
7.4	Setosa
5.7	Setosa
3.5	Virginica
3.4	Versicolor
5.2	Versicolor
7.2	Versicolor
3.3	Versicolor
7.9	Setosa
5.7	Setosa
3.6	Virginica
5.8	Setosa
7.3	Virginica
6.1	Virginica
4.8	Virginica
5.7	Virginica
4.8	Virginica
5.3	Virginica
7.5	Setosa
2.8	Versicolor
5.0	Virginica
3.3	Versicolor
2.8	Versicolor
3.9	Virginica
4.3	Setosa
5.4	Setosa
5.6	Versicolor
5.0	Virginica
4.7	Virginica
4.0	Virginica
4.7	Setosa
7.0	Setosa
5.7	Setosa
6.5	Setosa
3.8	Virginica
7.9	Virginica
6.1	Versicolor
7.7	Virginica
4.8	Versicolor
2.9	Setosa
5.5	Versicolor
2.7	Versicolor
3.6	Setosa
4.8	Versicolor
7.5	Versicolor
8.0	Setosa
7.6	Setosa
3.3	Setosa
5.2	Virginica
6.1	Versicolor
5.9	Virginica
4.9	Versicolor
5.3	Setosa
6.0	Versicolor
5.5	Versicolor
3.5	Virginica
4.5	Virginica
5.1	Virginica
6.8	Virginica
