sepal.length	sepal.width	variety
10.6	4.5	Versicolor
8.7	4.8	Versicolor
6.8	3.2	Virginica
9.5	4.9	Versicolor
9.4	5.0	Versicolor
10.4	3.7	Versicolor
7.3	4.0	Virginica
6.1	5.7	Setosa
9.9	4.5	Versicolor
10.2	4.3	Setosa
6.0	5.9	Versicolor
11.5	5.7	Versicolor
7.0	5.8	Setosa
8.3	5.4	Virginica
8.7	6.3	Virginica
11.0	5.5	Virginica
6.0	2.2	Versicolor
7.5	3.3	Versicolor
6.6	3.4	Setosa
9.5	7.5	Setosa
7.6	7.8	Setosa
7.6	6.5	Setosa
7.3	6.0	Setosa
4.9	7.1	Setosa
7.0	4.4	Setosa
9.5	4.0	Versicolor
8.9	3.7	Virginica
4.4	5.5	Setosa
9.1	3.0	Versicolor
6.8	6.1	Versicolor
11.9	4.3	Virginica
6.4	5.8	Virginica
10.2	6.1	Virginica
5.4	5.4	Setosa
9.4	7.2	Virginica
9.6	7.0	Virginica
9.0	5.1	Setosa
4.9	4.6	Setosa
6.6	4.0	Versicolor
6.9	3.9	Setosa
9.4	7.4	Setosa
7.8	5.7	Virginica
6.8	7.2	Versicolor
9.4	6.0	Virginica
5.8	8.5	Setosa
6.4	4.9	Setosa
8.2	6.7	Virginica
7.1	5.8	Virginica
6.6	4.3	Setosa
7.8	6.2	Virginica
6.6	5.1	Setosa
7.7	6.9	Virginica
6.5	4.7	Versicolor
5.6	5.4	Versicolor
10.7	6.6	Virginica
5.7	6.4	Setosa
7.2	3.5	Virginica
7.6	5.5	Versicolor
12.2	7.5	Virginica
9.2	7.4	Setosa
10.1	6.9	Versicolor
11.2	3.0	Virginica
6.6	5.8	Setosa
6.3	7.3	Virginica
9.9	7.4	Versicolor
10.5	4.8	Versicolor
9.2	5.5	Setosa
6.2	7.2	Versicolor
8.1	5.1	Virginica
6.5	3.0	Virginica
7.8	7.0	Virginica
9.2	6.2	Setosa
6.8	6.8	Versicolor
10.6	6.0	Virginica
5.7	2.6	Versicolor
4.9	7.5	Setosa
7.8	6.3	Virginica
10.8	4.2	Virginica
8.9	5.0	Virginica
7.2	4.8	Virginica
7.8	7.4	Setosa
10.3	4.9	Virginica
5.1	7.9	Setosa
4.8	6.0	Setosa
9.0	6.2	Virginica
9.1	6.0	Versicolor
8.8	6.8	Versicolor
7.5	4.6	Versicolor
6.7	3.4	Versicolor
7.4	3.4	Setosa
6.4	4.9	Versicolor
7.0	5.0	Versicolor
9.9	5.7	Versicolor
6.3	6.6	Setosa
7.3	7.7	Setosa
8.0	7.0	Setosa
10.7	4.5	Versicolor
6.2	5.2	Versicolor
10.2	4.4	Versicolor
9.6	6.5	Virginica
6.1	4.0	Versicolor
8.2	7.8	Virginica
8.0	4.0	Setosa
8.6	7.1	Setosa
7.6	6.9	Versicolor
