sepal.length	sepal.width	petal.length	variety
7.0	6.5	7.3	Virginica
9.6	4.2	4.5	Setosa
9.7	4.7	9.5	Virginica
6.2	5.8	7.6	Versicolor
8.0	4.2	5.1	Virginica
8.1	6.8	4.0	Setosa
8.6	4.4	7.6	Versicolor
5.6	4.5	7.4	Versicolor
5.6	3.0	4.6	Versicolor
5.5	5.0	4.5	Versicolor
9.9	7.8	8.4	Virginica
5.8	5.5	2.4	Setosa
9.5	6.5	3.8	Setosa
8.7	5.6	7.1	Virginica
8.1	4.4	5.4	Setosa
7.0	4.8	7.8	Versicolor
7.1	4.0	3.4	Setosa
7.9	3.7	6.8	Virginica
6.5	6.3	5.1	Versicolor
8.3	6.4	6.6	Virginica
5.4	5.4	1.8	Setosa
6.6	3.4	4.5	Setosa
7.8	3.1	2.1	Setosa
5.5	6.8	4.4	Setosa
7.9	4.1	7.9	Virginica
6.5	2.5	7.0	Versicolor
8.5	5.4	4.5	Versicolor
7.4	3.9	6.3	Versicolor
8.7	7.0	9.3	Virginica
6.8	4.5	7.9	Versicolor
10.2	5.0	9.5	Versicolor
9.6	6.8	6.2	Versicolor
9.4	7.9	3.7	Setosa
8.5	7.7	4.2	Setosa
8.3	3.1	8.0	Versicolor
9.5	3.9	4.6	Setosa
7.6	6.0	7.0	Versicolor
7.9	6.3	8.6	Virginica
10.4	4.7	6.3	Versicolor
6.7	4.2	5.9	Versicolor
10.2	7.6	7.2	Versicolor
5.9	5.6	2.5	Setosa
10.2	6.0	9.8	Virginica
6.7	7.5	6.2	Versicolor
6.2	2.5	5.0	Virginica
8.7	6.6	7.4	Virginica
8.9	7.9	2.7	Setosa
8.8	3.7	3.0	Setosa
11.3	4.0	9.5	Virginica
4.9	3.6	5.5	Setosa
8.6	4.8	3.7	Setosa
7.6	6.6	9.6	Virginica
6.7	8.0	3.5	Setosa
8.6	3.7	4.7	Versicolor
7.5	4.5	10.0	Virginica
10.3	4.9	9.8	Virginica
7.4	7.0	6.5	Versicolor
8.1	5.7	2.9	Setosa
5.7	5.6	7.5	Versicolor
8.4	4.3	6.1	Virginica
10.6	4.0	7.1	Versicolor
9.4	4.2	8.7	Virginica
8.4	3.6	4.4	Setosa
8.0	6.5	2.8	Setosa
8.1	3.6	3.0	Setosa
7.1	3.8	8.9	Virginica
8.6	5.4	5.7	Versicolor
6.5	6.7	5.9	Setosa
6.9	5.5	6.2	Versicolor
10.2	6.9	8.9	Virginica
8.8	6.7	9.6	Virginica
10.0	3.5	9.3	Virginica
10.5	6.0	6.7	Virginica
6.1	6.3	5.0	Versicolor
8.9	3.0	9.6	Virginica
10.6	6.0	8.4	Versicolor
6.2	4.7	2.6	Setosa
6.8	6.2	6.6	Versicolor
7.7	7.3	6.2	Virginica
7.3	3.4	5.4	Setosa
7.0	3.0	5.6	Setosa
10.3	5.0	4.2	Setosa
9.1	5.8	3.9	Setosa
7.5	3.2	7.5	Virginica
6.8	6.5	8.5	Virginica
11.1	7.5	8.6	Virginica
8.7	5.3	8.0	Versicolor
7.2	6.6	7.4	Versicolor
7.2	3.8	4.7	Setosa
8.1	7.8	4.6	Setosa
10.3	7.3	10.5	Virginica
9.3	7.4	1.6	Setosa
6.7	7.4	8.3	Versicolor
7.9	7.2	4.3	Setosa
10.3	3.8	7.1	Virginica
10.5	6.7	5.7	Versicolor
8.0	5.4	8.3	Versicolor
6.2	3.7	5.3	Setosa
5.1	5.0	7.0	Versicolor
8.2	5.4	7.7	Versicolor
10.0	4.9	5.5	Versicolor
8.4	6.4	5.3	Versicolor
6.4	5.0	9.0	Virginica
6.8	5.5	1.9	Setosa
8.9	4.9	1.4	Setosa
