sepal.width	petal.length	variety
4.4	5.2	Setosa
4.5	8.0	Versicolor
4.7	5.5	Versicolor
6.8	4.9	Setosa
4.6	3.0	Setosa
6.6	6.9	Virginica
3.3	3.2	Setosa
3.0	6.4	Virginica
4.9	7.1	Versicolor
4.3	8.4	Virginica
5.3	5.8	Versicolor
8.7	3.4	Setosa
4.4	4.7	Versicolor
4.7	6.0	Virginica
5.5	3.7	Setosa
3.5	1.4	Setosa
5.6	6.6	Virginica
3.0	5.0	Versicolor
4.0	4.7	Versicolor
2.7	6.4	Versicolor
4.4	7.1	Virginica
3.5	7.0	Virginica
3.5	4.4	Setosa
4.2	3.3	Setosa
5.0	8.0	Virginica
5.8	6.6	Virginica
6.7	9.9	Virginica
6.9	5.4	Setosa
5.9	5.3	Versicolor
4.6	4.6	Setosa
3.4	1.9	Setosa
5.8	6.2	Virginica
3.4	4.1	Setosa
4.6	4.9	Setosa
4.9	7.8	Versicolor
6.1	10.6	Virginica
3.8	8.0	Versicolor
5.1	6.9	Versicolor
6.7	7.6	Versicolor
6.7	5.6	Versicolor
7.4	5.2	Setosa
3.0	6.7	Versicolor
6.0	1.8	Setosa
5.6	8.9	Virginica
3.3	8.4	Virginica
6.9	3.0	Setosa
6.0	8.1	Virginica
5.8	8.9	Versicolor
4.5	2.1	Setosa
3.3	9.6	Virginica
3.5	4.5	Virginica
6.9	5.6	Versicolor
6.2	5.5	Setosa
5.3	7.1	Virginica
3.9	5.0	Versicolor
4.6	6.5	Virginica
3.9	7.8	Versicolor
6.7	8.2	Versicolor
6.8	8.5	Versicolor
6.2	9.6	Virginica
7.0	6.3	Virginica
4.0	8.1	Versicolor
3.1	6.0	Versicolor
6.8	4.9	Setosa
3.1	8.1	Virginica
6.5	6.4	Versicolor
7.8	2.6	Setosa
4.6	3.9	Setosa
4.5	8.9	Virginica
4.7	2.7	Setosa
5.0	4.0	Versicolor
2.5	8.0	Versicolor
4.8	6.1	Versicolor
5.1	8.6	Virginica
4.6	4.5	Setosa
6.5	1.4	Setosa
3.6	5.0	Setosa
5.1	4.9	Versicolor
4.0	1.8	Setosa
3.9	6.2	Versicolor
7.7	3.5	Setosa
6.9	8.3	Versicolor
5.2	1.3	Setosa
4.8	10.2	Virginica
5.8	6.5	Versicolor
3.5	8.0	Virginica
7.9	2.6	Setosa
6.8	4.7	Setosa
5.3	4.3	Setosa
3.5	1.5	Setosa
3.8	7.3	Virginica
7.2	1.4	Setosa
4.9	2.0	Setosa
6.6	9.2	Versicolor
4.2	8.5	Versicolor
5.5	5.7	Virginica
5.3	5.1	Virginica
6.1	5.5	Setosa
6.0	5.9	Versicolor
2.7	6.0	Versicolor
6.5	8.1	Virginica
3.2	2.1	Setosa
3.6	4.9	Versicolor
6.5	8.5	Virginica
6.2	8.7	Virginica
